id,type,x,y,weight_to_RIGHT,weight_to_UP,weight_to_LEFT,weight_to_DOWN,weight_for_WAIT
0,.,0,0,43.79765319824219,inf,inf,53.083412170410156,75.41087341308594
1,.,0,1,69.49479675292969,inf,42.9766731262207,27.94080352783203,45.22514724731445
2,.,0,2,41.47205352783203,inf,37.58180236816406,inf,70.50747680664062
3,.,0,3,53.0439567565918,inf,42.59396743774414,25.21283721923828,75.96722412109375
4,.,0,4,14.647958755493164,inf,55.86471939086914,39.49279022216797,80.80123901367188
5,.,0,5,inf,inf,75.0257568359375,44.26335144042969,61.04230880737305
6,@,0,6,inf,inf,inf,inf,inf
7,.,0,7,39.7862663269043,inf,inf,49.33945846557617,44.947906494140625
8,.,0,8,inf,inf,31.456958770751953,inf,52.907936096191406
9,@,0,9,inf,inf,inf,inf,inf
10,.,0,10,46.89664077758789,inf,inf,53.09290313720703,55.15056610107422
11,.,0,11,15.848334312438965,inf,39.43239212036133,44.56040573120117,52.678192138671875
12,.,0,12,inf,inf,47.41934585571289,inf,84.02782440185547
13,@,0,13,inf,inf,inf,inf,inf
14,@,0,14,inf,inf,inf,inf,inf
15,@,0,15,inf,inf,inf,inf,inf
16,.,0,16,inf,inf,inf,39.906028747558594,35.756919860839844
17,@,0,17,inf,inf,inf,inf,inf
18,.,0,18,61.25492477416992,inf,inf,54.45092010498047,76.90947723388672
19,.,0,19,inf,inf,31.64298439025879,49.79658126831055,88.54586029052734
20,@,0,20,inf,inf,inf,inf,inf
21,.,0,21,50.18579864501953,inf,inf,47.5988883972168,50.142757415771484
22,.,0,22,55.496612548828125,inf,47.18716812133789,44.969207763671875,56.0862922668457
23,.,0,23,41.63533020019531,inf,31.59925651550293,21.202896118164062,62.87049865722656
24,.,0,24,inf,inf,52.10813903808594,42.65269470214844,49.113914489746094
25,@,0,25,inf,inf,inf,inf,inf
26,.,0,26,30.225297927856445,inf,inf,61.18869400024414,62.070640563964844
27,.,0,27,inf,inf,56.224117279052734,39.562191009521484,53.413360595703125
28,@,0,28,inf,inf,inf,inf,inf
29,.,0,29,45.53388595581055,inf,inf,45.52764892578125,41.736873626708984
30,.,0,30,34.4880256652832,inf,27.302907943725586,inf,14.719413757324219
31,.,0,31,37.16560745239258,inf,40.484642028808594,49.24076461791992,59.84854507446289
32,.,0,32,inf,inf,23.7047061920166,58.97096633911133,59.60945129394531
33,@,0,33,inf,inf,inf,inf,inf
34,.,0,34,36.55926513671875,inf,inf,59.2716064453125,57.36182403564453
35,.,0,35,43.8629264831543,inf,51.64371871948242,22.484912872314453,72.0765380859375
36,.,0,36,25.69887351989746,inf,46.04829406738281,28.383960723876953,59.57087707519531
37,.,0,37,32.39777374267578,inf,48.011940002441406,33.974185943603516,75.16282653808594
38,.,0,38,30.25311279296875,inf,50.98214340209961,55.81857681274414,53.98373031616211
39,.,0,39,65.91948699951172,inf,27.85390281677246,68.29607391357422,32.435935974121094
40,.,0,40,29.602521896362305,inf,54.24702835083008,inf,30.40211296081543
41,.,0,41,57.91511154174805,inf,48.888084411621094,73.68106842041016,68.38753509521484
42,.,0,42,59.29544448852539,inf,36.26675033569336,41.32476043701172,41.491512298583984
43,.,0,43,36.64303970336914,inf,66.00550842285156,52.58876419067383,22.714244842529297
44,.,0,44,37.3390007019043,inf,35.3607063293457,inf,79.6239013671875
45,.,0,45,53.18870544433594,inf,34.333770751953125,48.54482650756836,56.026390075683594
46,.,0,46,49.5496940612793,inf,48.904476165771484,37.65363311767578,65.1253890991211
47,.,0,47,37.52519607543945,inf,32.34831237792969,12.290292739868164,63.57572555541992
48,.,0,48,inf,inf,33.50238037109375,inf,53.58905029296875
49,@,0,49,inf,inf,inf,inf,inf
50,.,0,50,57.15160369873047,inf,inf,inf,50.60049057006836
51,.,0,51,42.3734016418457,inf,68.07894134521484,13.962423324584961,42.795692443847656
52,.,0,52,54.45652389526367,inf,48.57737731933594,inf,51.80348587036133
53,.,0,53,38.096336364746094,inf,46.207706451416016,10.360962867736816,58.90330505371094
54,.,0,54,46.80059814453125,inf,56.98539733886719,inf,46.76350402832031
55,.,0,55,44.30831527709961,inf,54.18653869628906,49.84656524658203,38.03908920288086
56,.,0,56,58.463680267333984,inf,57.11054611206055,51.371646881103516,55.183326721191406
57,.,0,57,65.90449523925781,inf,49.91304016113281,36.63534927368164,57.512725830078125
58,.,0,58,57.01205825805664,inf,63.090152740478516,37.284969329833984,42.77525329589844
59,.,0,59,inf,inf,58.66857147216797,41.17700958251953,57.23944091796875
60,@,0,60,inf,inf,inf,inf,inf
61,@,0,61,inf,inf,inf,inf,inf
62,.,0,62,37.964439392089844,inf,inf,40.89627456665039,49.99754333496094
63,.,0,63,inf,inf,50.0721321105957,31.460037231445312,58.25917434692383
64,.,1,0,20.317642211914062,18.871639251708984,inf,32.49031448364258,40.44245529174805
65,.,1,1,inf,71.55558776855469,34.94862365722656,52.27926254272461,50.49637222290039
66,@,1,2,inf,inf,inf,inf,inf
67,.,1,3,41.66887283325195,62.70987319946289,inf,inf,40.774375915527344
68,.,1,4,39.62417984008789,18.761451721191406,41.76689910888672,60.21669006347656,63.586524963378906
69,.,1,5,48.17570495605469,40.56040954589844,52.081172943115234,inf,56.37397003173828
70,.,1,6,45.266929626464844,inf,29.55049705505371,54.868980407714844,58.772708892822266
71,.,1,7,inf,49.12815856933594,44.9675178527832,40.94612121582031,52.34429168701172
72,@,1,8,inf,inf,inf,inf,inf
